doc_id,text,summary,set,model,year,n_doc_sent,n_sum_sent,compression,coverage,redundancy,diversity
43646425,นทำประกันหักผ่านบัตรเครดิต แต่เวลาจะยกเลิกให้หักผ่านบัตรไม่สามารถแจ้งทางบัตรเครดิตให้ยกเลิกหักได้ต้องไปแจ้งที่ประกัน ทำประกันชีวิตโดยหักผ่านบัตรเครดิต.วันนี้อยากจะยกเลิกไม่ให้หักผ่านบัตร จึงโทรไปที่บัตรเครดิต แจ้งว่าขอยกเลิกการหักประกันผ่านบัตร ทางเจ้าหน้าที่แจ้งว่า ให้โทรไปที่ประกัน เลยงงนิดนึงว่าทำไมเจ้าของบัตรไม่มีสิทธิ์บอกให้เลิกหักเงินได้ครับ,"ผู้ร้องเรียนทำประกันชีวิตโดยระบุให้หักเงินผ่านบัตรเครดิต
เมื่อต้องการยกเลิกการหักเงิน พบว่าต้องติดต่อบริษัทประกันโดยตรง ไม่สามารถแจ้งยกเลิกผ่านธนาคารหรือบริษัทบัตรเครดิตได้
ผู้ร้องเรียนสอบถามไปยังเจ้าหน้าที่บัตรเครดิต ซึ่งแนะนำให้ติดต่อประกันแทน
จึงรู้สึกสับสนว่าเจ้าของบัตรไม่มีสิทธิ์ควบคุมการหักเงินเองได้",test,Hybrid,2025,4,4,1.0,0.5799511075019836,0.4864218632380167,0.5135781367619833
43566597,ยกเลิก เปลี่ยนแปลง กรมธรรม์กรุงไทยแอกซ่า อยากทราบว่าเราสามารถยกเลิกหรือเปลี่ยนกรมธรรม์ได้ด้วยวิธีไหนบ้างครับ แล้วยกเลิกความคุ้มครองแค่บางอย่างในกรมธรรม์ได้ไหม เช่น ตอนนี้ทำ 12PL52 ไว้ กับ MEA54 ยกเลิกแค่ตัว MEA54 ได้รึเปล่า,"ผู้ร้องขอสอบถามวิธีการยกเลิกหรือเปลี่ยนแปลงกรมธรรม์ประกันภัยจากบริษัทกรุงไทยแอกซ่า
ต้องการทราบว่าสามารถยกเลิกความคุ้มครองบางส่วนในกรมธรรม์ได้หรือไม่
โดยเฉพาะกรณีที่มีกรมธรรม์ 12PL52 และ MEA54 พร้อมกัน
จึงสอบถามว่าสามารถยกเลิกเฉพาะส่วน MEA54 ได้หรือไม่",test,Hybrid,2025,3,4,0.75,0.5334323048591614,0.4784719149271647,0.5215280850728353
43574951,ทำประกันผ่าน rabbit care จะยกเลิกตรงกับประกันได้ไหม ของ กรุงเทพประกันภัย พอดีทำประกันรถยนต์แล้วจะขอยกเลิกเนื่องจากไม่เอารถคันนั้นแล้ว แต่จะยกเลิก ตอนนี้ rabbit care ไม่ตอบกลับเลย จะยกเลิกโดยตรงผ่าน กรุงเทพประกันภัยได้ไหม ขอช่องมทางการติดต่อหน่อย และถามเพิ่มเติมมีเจ้าไหนแนะนำบ้าง ว่าจะทำประกันรถอีกคันตอนนี้ rabbit care พอเลย,"ผู้ร้องเรียนสอบถามว่าสามารถยกเลิกกรมธรรม์ประกันรถยนต์ที่ทำไว้กับกรุงเทพประกันภัยได้หรือไม่ หากต้องการเปลี่ยนไปใช้บริการของ rabbit care
ปัจจุบัน rabbit care ไม่ตอบกลับข้อความ ทำให้ไม่ทราบแนวทางการดำเนินการยกเลิกกรมธรรม์
ผู้ร้องเรียนจึงสอบถามว่าสามารถดำเนินการยกเลิกโดยตรงกับกรุงเทพประกันภัยได้หรือไม่ และขอช่องทางติดต่อที่ชัดเจน
นอกจากนี้ ยังสอบถามคำแนะนำจากแหล่งอื่นในการทำประกันรถยนต์คันใหม่ เนื่องจากเห็นว่า rabbit care อาจไม่เหมาะสมในขณะนี้",test,Hybrid,2025,5,4,1.25,0.5910800695419312,0.6333380540211995,0.3666619459788005
42959510,ประกันสุขภาพ ต้องการยกเลิกประกันของไทยพานิชย์เดือนละ370฿กับเดือนละ461฿ ค่ะ,"ผู้ร้องขอต้องการยกเลิกกรมธรรม์ประกันสุขภาพที่ชำระเบี้ยรายเดือน
มีสองกรมธรรม์ที่ต้องการยกเลิก ได้แก่ เบี้ย 370 บาท และ 461 บาทต่อเดือน
ไม่มีรายละเอียดเพิ่มเติมเกี่ยวกับเหตุผลในการยกเลิก
ข้อมูลที่ระบุมายังไม่มีการยืนยันหรือตรวจสอบเพิ่มเติม",test,Hybrid,2024,1,4,0.25,0.7657477855682373,0.414692481358846,0.585307518641154
41827288,มีใครเคยซื้อประกันสุขภาพของสินมั่นคงผ่านทางธนาคารธกส เมื่อปี65 มั้ยคะ เรื่องมีอยู่ว่า เมื่อวันที่28 2 65 เราและลูกสาวได้ตกลงซื้อประกันแผนคุ้มค่า3 ของสินมั่นคงผ่านธนาคารธกส บางกรวย ยังไม่ได้เคลมใดๆทั้งสิ้น วันนี้ได้รับจดหมายจากสินมั่นคงว่า ขอยกเลิกการขายประกันแผนนี้ทั้งผู้เอาประกันใหม่และต่ออายุ โดยมีผล 6 ตุลาคม 64 เอาละซิ งงมั้ยคะ ยกเลิกปี64 ธนาคารธกสมาขายได้ โดยทางหัวหน้าของแผนกนี้จากสินมั่นคงเค้าบอกว่าสำหรับธกสเค้าให้ถึงเดือน6ปี65 งงมั้ยคะ เท่ากะเราโดนหลอกซื้อประกันที่ยกเลิกขาย โดยธนาคารธกส บางกรวย,"ผู้ร้องเรียนระบุว่าได้ซื้อประกันสุขภาพแผนคุ้มค่า3 ของสินมั่นคงผ่านธนาคารธกส ในปี 2565
แต่เมื่อวันที่ 28 กุมภาพันธ์ 2565 ได้รับจดหมายแจ้งยกเลิกการขายประกันตั้งแต่วันที่ 6 ตุลาคม 2564
ซึ่งขัดแย้งกับข้อมูลจากเจ้าหน้าที่สินมั่นคงที่ระบุว่า ธกส. ยังสามารถขายแผนดังกล่าวได้จนถึงเดือนมิถุนายน 2565
ผู้ร้องเรียนรู้สึกสับสนและเชื่อว่าถูกขายประกันที่อยู่ในสถานะยกเลิกแล้ว",test,Hybrid,2023,6,4,1.5,0.6633426547050476,0.5407744646072388,0.4592255353927612
42665678,ติดต่อยกเลิกสยามสไมล์ จะยกเลิกได้ยังไงคะ ทำประกันไว้ตอนทำงาน ไม่เคลมให้ ไม่อะไรเลย เคยติดต่อไปแล้วบอกจะยกเลิกให้ก็ไม่ทำให้ค่ะ จะตัดเงินในบัญชีตลอด,"ผู้ร้องเรียนต้องการยกเลิกกรมธรรม์ประกันภัยที่ซื้อผ่านบริษัทสยามสไมล์
ระบุว่าเคยติดต่อขอยกเลิกแต่ไม่ได้รับการดำเนินการตามที่承诺
ยังคงมีการหักเงินจากบัญชีโดยไม่มีการเคลมหรือแจ้งเตือนใดๆ
ผู้ร้องเรียนกังวลว่าจะถูกหักเงินต่อเนื่องโดยไม่มีเหตุผล",test,Hybrid,2024,4,4,1.0,0.3846090137958526,0.4994644323984781,0.5005355676015218
42136513,ยกเลิกประกัน AIA คือเราอยากยกเลิกประกัน AIA ค่ะ เพราะมีค่าใช้จ่ายเยอะขึ้นเลยจ่ายประกันไม่ไหว เราเลยไม่จ่าย และไปขอยกเลิกกับตัวแทน แต่เขาไม่ยอมยกเลิก คือตัวแทนเป็นผู้จัดการที่ทำงานเดิมเราเองค่ะ เขาก็ตื๊อเราตลอด บอกจะจ่ายแทนให้บ้าง ทั้งโทรจิ๊ก ทั้งทักเฟสหา จะทำยังไงเราก็ไม่อยากทำประกันแล้วอะค่ะ ยกเลิกกับบริษัทโดยตรงทำไงคะ,"ผู้ร้องขอต้องการยกเลิกกรมธรรม์ประกันภัยจาก AIA เนื่องจากมีค่าใช้จ่ายเพิ่มขึ้นจนจ่ายไม่ไหว
ผู้ร้องได้แจ้งตัวแทนที่ดูแลเพื่อยกเลิก แต่ตัวแทนปฏิเสธและพยายามโน้มน้าวให้คงไว้
ตัวแทนยังคงติดต่อผ่านโทรศัพท์และช่องทางออนไลน์อย่างต่อเนื่อง แม้ผู้ร้องยืนยันไม่ประสงค์จะทำประกันอีก
ผู้ร้องจึงสอบถามวิธีการยกเลิกกรมธรรม์โดยตรงกับบริษัท AIA",test,Hybrid,2023,4,4,1.0,0.5555015802383423,0.5674614111582438,0.4325385888417562
42290590,อยากจะยกเลิกประกันอุบัติเหตุของบ.กรุงเทพประกันภัย ที่ผ่านโบรกเกอร์ tqm อยากจะยกเลิกประกันอุบัติเหตุของบ.กรุงเทพประกันภัย ที่ผ่านโบรกเกอร์ tqm ผมส่งไปได้แค่3เดือนครับ ผมจึงอยากทราบว่า ถ้าขอยกเลิกไปแล้ว จะได้เงินคืนไหมครับ,"ผู้ร้องขอต้องการยกเลิกกรมธรรม์ประกันอุบัติเหตุที่ซื้อผ่านโบรกเกอร์ TQM กับบริษัทกรุงเทพประกันภัย
กรมธรรม์ดังกล่าวใช้งานมาเพียง 3 เดือนเท่านั้น
ผู้ร้องขอสอบถามถึงเงื่อนไขการคืนเบี้ยประกันหากยกเลิกก่อนครบกำหนด
ต้องการทราบว่าจะได้รับเงินคืนหรือไม่ภายหลังการยกเลิก",test,Hybrid,2023,5,4,1.25,0.4475952982902527,0.4256095886230469,0.5743904113769531
42740719,สอบถามยกเลิกประกันเงินฝาก I shield20 ของกรุงไทย ต้องการยกเลิก ishield 20 สมัครไป กค 2566 ถ้ายกเลิกจะได้เงินคืนไหม โทรไปถามคอลเซนเตอร์บอกไปโหลดเอกสารคำร้องในเว็บ แต่หาไม่เจอเลย,"ผู้ร้องขอสอบถามขั้นตอนการยกเลิกกรมธรรม์ประกันเงินฝาก I Shield20 ของธนาคารกรุงไทย
ระบุว่าได้สมัครเมื่อเดือนตุลาคม 2566 และต้องการทราบว่าหากยกเลิกจะได้รับเงินคืนหรือไม่
ได้ติดต่อคอลเซ็นเตอร์ซึ่งแนะนำให้ดาวน์โหลดเอกสารคำร้องจากเว็บไซต์ แต่ไม่สามารถค้นพบเอกสารดังกล่าวได้
ผู้ร้องขอจึงต้องการความช่วยเหลือในการเข้าถึงเอกสารหรือข้อมูลที่เกี่ยวข้องเพื่อดำเนินการยกเลิก",test,Hybrid,2024,3,4,0.75,0.7179113030433655,0.5302404165267944,0.4697595834732055
42660160,ยกเลิกประกันชีวิตดีไหมครับ สมัยทำงานแรกๆ เคยซื้อประกันชีวิตไว้ให้พ่อ เป็นแบบ 85 20 ส่งเบี้ย 6998 เป็นเวลา 20 ปี คุ้มครองกรณีเสียชีวิตจะได้ 10000 บาท ส่งประกันไปแล้ว 7 ปี ล่าสุดกลับไปบ้านเมื่อสงกรานต์ จัดบ้านแล้วเจอกรมธรรม์เลยเอามาอ่านดู ก็แปลกใจตัวเองว่าทำไมตอนนั้นถึงซื้อ เพราะว่าประกันจะส่งเบี้ยไปทั้งหมดเกือบ 1.4 แสน แต่ว่าถ้าเสียชีวิตจะได้ 1 แสน ยิ่งส่งไปนานๆก็เหมือนจะยิ่งขาดทุน อันนี้เป็นตารางเบี้ยที่จ่ายไปกับเงินค่าเวนคืน ผมเข้าใจอะไรเกี่ยวกับประกันผิดไหมครับ หรือว่าผมควรเวนคืนประกันของพ่อไหม,"ผู้ร้องเรียนเคยซื้อกรมธรรม์ประกันชีวิตให้พ่อเมื่อ 20 ปีก่อน โดยชำระเบี้ยรายปี 6,998 บาท เป็นระยะเวลา 20 ปี
กรมธรรม์มีวงเงินคุ้มครองกรณีเสียชีวิตเพียง 100,000 บาท และมีค่าเวนคืนที่ต่ำกว่าเบี้ยที่จ่ายสะสมเกือบ 140,000 บาท
ผู้ร้องเรียนรู้สึกว่าการจ่ายเบี้ยในระยะยาวแล้วได้รับผลตอบแทนต่ำกว่าที่คาดหวัง และเริ่มตั้งคำถามถึงความคุ้มค่าของกรมธรรม์นี้
เขาจึงสอบถามว่าควรดำเนินการเวนคืนกรมธรรม์หรือไม่ โดยต้องการคำแนะนำเกี่ยวกับความเข้าใจในผลประโยชน์ของประกันฉบับนี้",test,Hybrid,2024,5,4,1.25,0.727838933467865,0.5991803010304768,0.4008196989695232
